name,tradingsymbol,instrument_key
AAKASH EXPLORATION SER L,AAKASH,NSE_EQ|INE087Z01024
EPIGRAL LIMITED,EPIGRAL,NSE_EQ|INE071N01016
KIRLOSKAR OIL ENG LTD,KIRLOSENG,NSE_EQ|INE146L01010
DEBOCK INDUSTRIES LIMITED,DIL,NSE_EQ|INE411Y01011
APTUS VALUE HSG FIN I LTD,APTUS,NSE_EQ|INE852O01025
MPS LIMITED,MPSLTD,NSE_EQ|INE943D01017
XTGLOBAL INFOTECH LIMITED,XTGLOBAL,NSE_EQ|INE547B01028
EMMBI INDUSTRIES LIMITED,EMMBI,NSE_EQ|INE753K01015
TEXMO PIPE & PRODUCTS LTD,TEXMOPIPES,NSE_EQ|INE141K01013
TIPS FILMS LIMITED,TIPSFILMS,NSE_EQ|INE0LQS01015
RATNAVEER PRECISION ENG L,RATNAVEER,NSE_EQ|INE05CZ01011
TAMILNADU TELECOMMUNICATI,TNTELE,NSE_EQ|INE141D01018
DR AGARWALS HEALTH CARE L,AGARWALEYE,NSE_EQ|INE943P01029
ALLCARGO TERMINALS LTD,ATL,NSE_EQ|INE0NN701020
PTC INDIA FIN SERV LTD,PFS,NSE_EQ|INE560K01014
HINDUSTAN ZINC LIMITED,HINDZINC,NSE_EQ|INE267A01025
HEG LTD,HEG,NSE_EQ|INE545A01024
360 ONE WAM LIMITED,360ONE,NSE_EQ|INE466L01038
TECHNOCRAFT IND LTD,TIIL,NSE_EQ|INE545H01011
AGI GREENPAC LIMITED,AGI,NSE_EQ|INE415A01038
SEPC LIMITED,SEPC,NSE_EQ|INE964H01014
RELIANCE CHEMOTEX IND LTD,RELCHEMQ,NSE_EQ|INE750D01016
AGI INFRA LIMITED,AGIIL,NSE_EQ|INE976R01025
SANGINITA CHEMICALS LTD,SANGINITA,NSE_EQ|INE753W01010
SESHASAYEE PAPER & BOARDS,SESHAPAPER,NSE_EQ|INE630A01024
AUTOMOTIVE STAMPINGS & AS,ASAL,NSE_EQ|INE900C01027
SARVESHWAR FOODS LIMITED,SARVESHWAR,NSE_EQ|INE324X01026
SHREE CEMENT LIMITED,SHREECEM,NSE_EQ|INE070A01015
AUSOM ENTERPRISE LIMITED,AUSOMENT,NSE_EQ|INE218C01016
ONE 97 COMMUNICATIONS LTD,PAYTM,NSE_EQ|INE982J01020
DCW LTD,DCW,NSE_EQ|INE500A01029
ANANT RAJ LIMITED,ANANTRAJ,NSE_EQ|INE242C01024
LIBAS CONSU PRODUCTS LTD,LIBAS,NSE_EQ|INE908V01012
VARDHMAN POLYTEX LTD.,VARDMNPOLY,NSE_EQ|INE835A01029
JAYANT AGRO ORGANICS LTD,JAYAGROGN,NSE_EQ|INE785A01026
LLOYDS ENGG WORK LIMITED,LLOYDSENGG,NSE_EQ|INE093R01011
WONDERLA HOLIDAYS LTD.,WONDERLA,NSE_EQ|INE066O01014
ASTEC LIFESCIENCES LTD,ASTEC,NSE_EQ|INE563J01010
LANDMARK PR.DEV.CO.LTD,LPDC,NSE_EQ|INE197J01017
POLY MEDICURE LIMITED,POLYMED,NSE_EQ|INE205C01021
PUDUMJEE PAPER PRO. LTD,PDMJEPAPER,NSE_EQ|INE865T01018
TVS SUPPLY CHAIN SOL L,TVSSCS,NSE_EQ|INE395N01027
DJ MEDIAPRINT & LOG LTD,DJML,NSE_EQ|INE0B1K01014
JET FREIGHT LOGISTICS LTD,JETFREIGHT,NSE_EQ|INE982V01025
ADITYA BIRLA MONEY LTD,BIRLAMONEY,NSE_EQ|INE865C01022
AADHAR HOUSING FINANCE L,AADHARHFC,NSE_EQ|INE883F01010
JAY BHARAT MARUTI LTD,JAYBARMARU,NSE_EQ|INE571B01036
KNR CONSTRU LTD.,KNRCON,NSE_EQ|INE634I01029
ASIAN ENERGY SERVICES LTD,ASIANENE,NSE_EQ|INE276G01015
KRITI NUTRIENTS LIMITED,KRITINUT,NSE_EQ|INE798K01010
PAGE INDUSTRIES LTD,PAGEIND,NSE_EQ|INE761H01022
JINDAL STEEL & POWER LTD,JINDALSTEL,NSE_EQ|INE749A01030
ZF COM VE CTR SYS IND LTD,ZFCVINDIA,NSE_EQ|INE342J01019
BHARAT DYNAMICS LIMITED,BDL,NSE_EQ|INE171Z01026
VENTIVE HOSPITALITY LTD,VENTIVE,NSE_EQ|INE781S01027
INNOVA CAPTAB LIMITED,INNOVACAP,NSE_EQ|INE0DUT01020
COFORGE LIMITED,COFORGE,NSE_EQ|INE591G01025
BIRLANU LIMITED,BIRLANU,NSE_EQ|INE557A01011
ARVIND SMARTSPACES LTD,ARVSMART,NSE_EQ|INE034S01021
TRUCAP FINANCE LIMITED,TRU,NSE_EQ|INE615R01029
PLAZA WIRES LIMITED,PLAZACABLE,NSE_EQ|INE0INJ01017
KANPUR PLASTIPACK LIMITED,KANPRPLA,NSE_EQ|INE694E01014
INOX GREEN ENERGY SER LTD,INOXGREEN,NSE_EQ|INE510W01014
ASTRA MICROWAVE LTD,ASTRAMICRO,NSE_EQ|INE386C01029
AARVI ENCON LIMITED,AARVI,NSE_EQ|INE754X01016
WEBSOL ENERGY SYSTEM LTD,WEBELSOLAR,NSE_EQ|INE855C01015
SHIVAM AUTO.LTD,SHIVAMAUTO,NSE_EQ|INE637H01024
BANNARI AMMAN SUGARS LTD,BANARISUG,NSE_EQ|INE459A01010
JINDAL WORLDWIDE LTD,JINDWORLD,NSE_EQ|INE247D01039
HESTER BIOSCIENCES LTD,HESTERBIO,NSE_EQ|INE782E01017
GMR POW AND URBAN INFRA L,GMRP&UI,NSE_EQ|INE0CU601026
TEAMO PRODUCTIONS HQ LTD,TPHQ,NSE_EQ|INE065J01024
UDAYSHIVAKUMAR INFRA LTD,USK,NSE_EQ|INE0N0Y01013
FORCE MOTORS LIMITED,FORCEMOT,NSE_EQ|INE451A01017
SIGNATUREGLOBAL INDIA LTD,SIGNATURE,NSE_EQ|INE903U01023
GHCL TEXTILES LIMITED,GHCLTEXTIL,NSE_EQ|INE0PA801013
DENTA WATER N INFRA SOL L,DENTA,NSE_EQ|INE0R4L01018
LAXMI DENTAL LIMITED,LAXMIDENTL,NSE_EQ|INE0WO601020
HOV SERVICES LTD,HOVS,NSE_EQ|INE596H01014
ASIAN GRANITO IND. LTD.,ASIANTILES,NSE_EQ|INE022I01019
TVS MOTOR COMPANY  LTD,TVSMOTOR,NSE_EQ|INE494B01023
NAKODA GROUP OF IND. LTD,NGIL,NSE_EQ|INE236Y01012
VST TILLERS TRACTORS LTD,VSTTILLERS,NSE_EQ|INE764D01017
JK LAKSHMI CEMENT LTD,JKLAKSHMI,NSE_EQ|INE786A01032
RAJ TV NETWORK LTD,RAJTV,NSE_EQ|INE952H01027
ORIENT CEMENT LTD.,ORIENTCEM,NSE_EQ|INE876N01018
MADRAS FERTILISERS LTD,MADRASFERT,NSE_EQ|INE414A01015
RAM RATNA WIRES LIMITED,RAMRAT,NSE_EQ|INE207E01023
RPSG VENTURES LIMITED,RPSGVENT,NSE_EQ|INE425Y01011
REDTAPE LIMITED,REDTAPE,NSE_EQ|INE0LXT01019
MOTOR & GENERAL FINANCE L,MOTOGENFIN,NSE_EQ|INE861B01023
GUJ IND POW CO. LTD,GIPCL,NSE_EQ|INE162A01010
ASSO ALCOHOLS & BREW LTD,ASALCBR,NSE_EQ|INE073G01016
PUNJAB NATIONAL BANK,PNB,NSE_EQ|INE160A01022
SKF INDIA LTD,SKFINDIA,NSE_EQ|INE640A01023
N R AGARWAL INDS LTD,NRAIL,NSE_EQ|INE740D01017
ADANI POWER LTD,ADANIPOWER,NSE_EQ|INE814H01011
GOKALDAS EXPORTS LTD.,GOKEX,NSE_EQ|INE887G01027
SEQUENT SCIENTIFIC LTD.,SEQUENT,NSE_EQ|INE807F01027
TINNA RUBBER AND INFR LTD,TINNARUBR,NSE_EQ|INE015C01016
GNA AXLES LIMITED,GNA,NSE_EQ|INE934S01014
JAMNA AUTO IND LTD,JAMNAAUTO,NSE_EQ|INE039C01032
KEWAL KIRAN CLOTHING LTD,KKCL,NSE_EQ|INE401H01017
MAWANA SUGARS LIMITED,MAWANASUG,NSE_EQ|INE636A01039
PRAKASH INDUSTRIES LTD,PRAKASH,NSE_EQ|INE603A01013
TCIFINANCELTD-ROLL SETT,TCIFINANCE,NSE_EQ|INE911B01018
CENTRAL DEPO SER (I) LTD,CDSL,NSE_EQ|INE736A01011
BHAGERIA INDUSTRIES LTD,BHAGERIA,NSE_EQ|INE354C01027
STANDARD INDUSTRIES LTD.,SIL,NSE_EQ|INE173A01025
TILAKNAGAR INDUSTRIES LTD,TI,NSE_EQ|INE133E01013
IFB INDUSTRIES LTD,IFBIND,NSE_EQ|INE559A01017
TBO TEK LIMITED,TBOTEK,NSE_EQ|INE673O01025
IFB AGRO INDUSTRIES LTD,IFBAGRO,NSE_EQ|INE076C01018
EXXARO TILES LIMITED,EXXARO,NSE_EQ|INE0GFE01026
RAYMOND LTD,RAYMOND,NSE_EQ|INE301A01014
INTERGLOBE AVIATION LTD,INDIGO,NSE_EQ|INE646L01027
HYUNDAI MOTOR INDIA LTD,HYUNDAI,NSE_EQ|INE0V6F01027
VASCON ENGINEERS LTD,VASCONEQ,NSE_EQ|INE893I01013
PRAKASH PIPES LIMITED,PPL,NSE_EQ|INE050001010
HEC INFRA PROJECTS LTD,HECPROJECT,NSE_EQ|INE558R01013
CEREBRA INT TECH LTD,CEREBRAINT,NSE_EQ|INE345B01019
DALMIA BHARAT SUG IN LTD,DALMIASUG,NSE_EQ|INE495A01022
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,NSE_EQ|INE010B01027
GODREJ CONSUMER PRODUCTS,GODREJCP,NSE_EQ|INE102D01028
DR. LAL PATH LABS LTD.,LALPATHLAB,NSE_EQ|INE600L01024
MOREPEN LAB. LTD,MOREPENLAB,NSE_EQ|INE083A01026
PARADEEP PHOSPHATES LTD,PARADEEP,NSE_EQ|INE088F01024
EXIDE INDUSTRIES LTD,EXIDEIND,NSE_EQ|INE302A01020
RELIANCE INDUSTRIAL INFRA,RIIL,NSE_EQ|INE046A01015
LAXMI COTSPIN LIMITED,LAXMICOT,NSE_EQ|INE801V01019
POWER FIN CORP LTD.,PFC,NSE_EQ|INE134E01011
GP PETROLEUMS LIMITED,GULFPETRO,NSE_EQ|INE586G01017
EUREKA FORBES LIMITED,EUREKAFORB,NSE_EQ|INE0KCE01017
ALICON CASTALLOY LIMITED,ALICON,NSE_EQ|INE062D01024
SONATA SOFTWARE LTD,SONATSOFTW,NSE_EQ|INE269A01021
JUBILANT INGREVIA LIMITED,JUBLINGREA,NSE_EQ|INE0BY001018
BANSAL WIRE INDUSTRIES L,BANSALWIRE,NSE_EQ|INE0B9K01025
GODHA CABCON INSULAT LTD,GODHA,NSE_EQ|INE925Y01036
ROLEX RINGS LIMITED,ROLEXRINGS,NSE_EQ|INE645S01016
ARKADE DEVELOPERS LIMITED,ARKADE,NSE_EQ|INE0QRL01017
VAXTEX COTFAB LIMITED,VCL,NSE_EQ|INE098201036
INFOSYS LIMITED,INFY,NSE_EQ|INE009A01021
IRCON INTERNATIONAL LTD,IRCON,NSE_EQ|INE962Y01021
SUNDARAM MULTI PAP LTD,SUNDARAM,NSE_EQ|INE108E01023
S H KELKAR AND CO. LTD.,SHK,NSE_EQ|INE500L01026
NAVIN FLUORINE INT. LTD,NAVINFLUOR,NSE_EQ|INE048G01026
SANOFI CONS HEALTHC IND L,SANOFICONR,NSE_EQ|INE0UOS01011
PANAMA PETROCHEM LTD,PANAMAPET,NSE_EQ|INE305C01029
NIIT LIMITED,NIITLTD,NSE_EQ|INE161A01038
GREAVES COTTON LTD.,GREAVESCOT,NSE_EQ|INE224A01026
RBZ JEWELLERS LIMITED,RBZJEWEL,NSE_EQ|INE0PEQ01016
SINTERCOM INDIA LIMITED,SINTERCOM,NSE_EQ|INE129Z01016
VISHWARAJ SUGAR IND LTD,VISHWARAJ,NSE_EQ|INE430N01022
SHYAM METALICS AND ENGY L,SHYAMMETL,NSE_EQ|INE810G01011
KAYA LIMITED,KAYA,NSE_EQ|INE587G01015
KAYNES TECHNOLOGY IND LTD,KAYNES,NSE_EQ|INE918Z01012
BIOCON LIMITED.,BIOCON,NSE_EQ|INE376G01013
MISHRA DHATU NIGAM LTD,MIDHANI,NSE_EQ|INE099Z01011
VALIANT ORGANICS LIMITED,VALIANTORG,NSE_EQ|INE565V01010
SHREE RAMA NEWSPRINT LTD,RAMANEWS,NSE_EQ|INE278B01020
MAGELLANIC CLOUD LIMITED,MCLOUD,NSE_EQ|INE613C01026
GTL LTD,GTL,NSE_EQ|INE043A01012
JAIPRAKASH POWER VEN. LTD,JPPOWER,NSE_EQ|INE351F01018
PAISALO DIGITAL LIMITED,PAISALO,NSE_EQ|INE420C01059
CURA TECHNOLOGIES LIMITED,CURAA,NSE_EQ|INE117B01020
EURO (I) FRESH FOODS LTD,EIFFL,NSE_EQ|INE546V01010
REVATHI EQUIPMENT INDIA L,RVTH,NSE_EQ|INE0DAB01012
ZUARI INDUSTRIES LIMITED,ZUARIIND,NSE_EQ|INE217A01012
MANKIND PHARMA LIMITED,MANKIND,NSE_EQ|INE634S01028
PRUDENTIAL SUGAR CORPORAT,PRUDMOULI,NSE_EQ|INE024D01016
MANUGRAPH INDIA LIMITED,MANUGRAPH,NSE_EQ|INE867A01022
WEIZMANN LTD,WEIZMANIND,NSE_EQ|INE080A01014
STRLNG & WIL REN ENE LTD,SWSOLAR,NSE_EQ|INE00M201021
UNITED NILGIRI TEA LTD,UNITEDTEA,NSE_EQ|INE458F01011
PATANJALI FOODS LIMITED,PATANJALI,NSE_EQ|INE619A01035
BLACK BOX LIMITED,BBOX,NSE_EQ|INE676A01027
MUKAND LTD.,MUKANDLTD,NSE_EQ|INE304A01026
BHARAT FORGE LTD,BHARATFORG,NSE_EQ|INE465A01025
IND TERRAIN FASHIONS LTD,INDTERRAIN,NSE_EQ|INE611L01021
ALLIED DIGITAL SERV. LTD,ADSL,NSE_EQ|INE102I01027
SURYALAKSHMI COT MIL LTD,SURYALAXMI,NSE_EQ|INE713B01026
GTL INFRA.LTD,GTLINFRA,NSE_EQ|INE221H01019
NLC INDIA LIMITED,NLCINDIA,NSE_EQ|INE589A01014
SENCO GOLD LIMITED,SENCO,NSE_EQ|INE602W01027
WELSPUN CORP LIMITED,WELCORP,NSE_EQ|INE191B01025
BPL LTD,BPL,NSE_EQ|INE110A01019
BERGER PAINTS (I) LTD,BERGEPAINT,NSE_EQ|INE463A01038
DIGIDRIVE DISTRIBUTORS L,DIGIDRIVE,NSE_EQ|INE0PSC01024
EPACK DURABLE LIMITED,EPACK,NSE_EQ|INE0G5901015
LOVABLE LINGERIE LTD,LOVABLE,NSE_EQ|INE597L01014
ATAM VALVES LIMITED,ATAM,NSE_EQ|INE09KD01013
GENUS POWER INFRASTRU LTD,GENUSPOWER,NSE_EQ|INE955D01029
BHARTI AIRTEL LIMITED,BHARTIARTL,NSE_EQ|INE397D01024
AVENUE SUPERMARTS LIMITED,DMART,NSE_EQ|INE192R01011
DECCAN CEMENTS LIMITED,DECCANCE,NSE_EQ|INE583C01021
ASTRON PAPER BORD MIL LTD,ASTRON,NSE_EQ|INE646X01014
QUESS CORP LIMITED,QUESS,NSE_EQ|INE615P01015
NAZARA TECHNOLOGIES LTD,NAZARA,NSE_EQ|INE418L01021
D. P. ABHUSHAN LIMITED,DPABHUSHAN,NSE_EQ|INE266Y01019
ASAHI SONGWON COLOR LTD,ASAHISONG,NSE_EQ|INE228I01012
J.G.CHEMICALS LIMITED,JGCHEM,NSE_EQ|INE0MB501011
UNITED BREWERIES LTD,UBL,NSE_EQ|INE686F01025
NILA SPACES LIMITED,NILASPACES,NSE_EQ|INE00S901012
SATIA INDUSTRIES LIMITED,SATIA,NSE_EQ|INE170E01023
MEDICAMEN BIOTECH LIMITED,MEDICAMEQ,NSE_EQ|INE646B01010
MMTC LIMITED,MMTC,NSE_EQ|INE123F01029
IDBI BANK LIMITED,IDBI,NSE_EQ|INE008A01015
ACME SOLAR HOLDINGS LTD,ACMESOLAR,NSE_EQ|INE622W01025
VAIBHAV GLOBAL LIMITED,VAIBHAVGBL,NSE_EQ|INE884A01027
PTC INDIA LIMITED,PTC,NSE_EQ|INE877F01012
NITCO LIMITED,NITCO,NSE_EQ|INE858F01012
HLE GLASCOAT LIMITED,HLEGLAS,NSE_EQ|INE461D01028
LORDS CHLORO ALKALI LTD,LORDSCHLO,NSE_EQ|INE846D01012
ZEE ENTERTAINMENT ENT LTD,ZEEL,NSE_EQ|INE256A01028
DYNACONS SYS & SOLN LTD,DSSL,NSE_EQ|INE417B01040
ADOR WELDING LTD,ADOR,NSE_EQ|INE045A01017
DOMS INDUSTRIES LIMITED,DOMS,NSE_EQ|INE321T01012
DYNEMIC PRODUCTS LIMITED,DYNPRO,NSE_EQ|INE256H01015
TV TODAY NETWORK LTD,TVTODAY,NSE_EQ|INE038F01029
ROLTA INDIA LTD,ROLTA,NSE_EQ|INE293A01013
PONNIE SUGARS (ERODE) LTD,PONNIERODE,NSE_EQ|INE838E01017
S.A.L. STEEL LTD.,SALSTEEL,NSE_EQ|INE658G01014
KOPRAN LTD,KOPRAN,NSE_EQ|INE082A01010
FINE ORGANIC IND. LTD.,FINEORG,NSE_EQ|INE686Y01026
20 MICRONS LTD,20MICRONS,NSE_EQ|INE144J01027
ALKEM LABORATORIES LTD.,ALKEM,NSE_EQ|INE540L01014
BHARTIYA INTERNATIONAL,BIL,NSE_EQ|INE828A01016
LE TRAVENUES TECHNOLOGY L,IXIGO,NSE_EQ|INE0HV901016
STEL HOLDINGS LIMITED,STEL,NSE_EQ|INE577L01016
MMP INDUSTRIES LIMITED,MMP,NSE_EQ|INE511Y01018
TEGA INDUSTRIES LIMITED,TEGA,NSE_EQ|INE011K01018
GUJ STATE FERT & CHEM LTD,GSFC,NSE_EQ|INE026A01025
SAMVARDHANA MOTHERSON INT,MOTHERSON,NSE_EQ|INE775A08105
GOKUL REFOILS & SOLV LTD,GOKUL,NSE_EQ|INE020J01029
VENKY S (INDIA) LIMITED,VENKEYS,NSE_EQ|INE398A01010
VIMTA LABS LIMITED,VIMTALABS,NSE_EQ|INE579C01029
SWAN DEFENCE N HEVY IND L,SWANDEF,NSE_EQ|INE542F01020
CAPITAL TRUST LTD,CAPTRU-RE,NSE_EQ|INE707C20018
INDIAMART INTERMESH LTD,INDIAMART,NSE_EQ|INE933S01016
AZAD ENGINEERING LIMITED,AZAD,NSE_EQ|INE02IJ01035
COMPUAGE INFOCOM LTD,COMPINFO,NSE_EQ|INE070C01037
FUT LIFESTYLE FASH LTD,FLFL,NSE_EQ|INE452O01016
KOTAK MAHINDRA BANK LTD,KOTAKBANK,NSE_EQ|INE237A01028
CIPLA LTD,CIPLA,NSE_EQ|INE059A01026
ANGEL ONE LIMITED,ANGELONE,NSE_EQ|INE732I01013
SKY GOLD AND DIAMONDS LTD,SKYGOLD,NSE_EQ|INE01IU01018
TCPL PACKAGING LIMITED,TCPLPACK,NSE_EQ|INE822C01015
RAJESH EXPORTS LTD,RAJESHEXPO,NSE_EQ|INE343B01030
ALEMBIC LIMITED,ALEMBICLTD,NSE_EQ|INE426A01027
ARIES AGRO LTD.,ARIES,NSE_EQ|INE298I01015
ANIK INDUSTRIES LTD,ANIKINDS,NSE_EQ|INE087B01017
EID PARRY INDIA LTD,EIDPARRY,NSE_EQ|INE126A01031
